School_code|AgeID|School_name|Street|Town_suburb|Postcode|Phone|School_Email|Fax|Student_number|Indigenous_pct|LBOTE_pct|ICSEA_value|Level_of_schooling|Selective_school|Opportunity_class|School_specialty_type|School_subtype|Support_classes|Preschool_ind|Distance_education|Intensive_english_centre|School_gender|Late_opening_school|Date_1st_teacher|LGA|Electorate|Fed_electorate|Operational_directorate|Principal_network|FACS_district|Local_health_district|AECG_region|ASGS_remoteness|Latitude|Longitude|Assets unit|Date_extracted
1040|9126|Anna Bay Public School|191 Gan Gan Rd|Anna Bay |2316|4982 1187|annabay-p.school@det.nsw.edu.au|4982 1879|302.0|10.0|6.0|977|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1879-11-01|Port Stephens (A)|Port Stephens|Paterson|Tamworth|Callaghan/Port Stephens|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.77637|152.089912|Hunter/Central Coast|2017-11-03
1041|5497|Annandale Public School|25 Johnston St|Annandale |2038|9516 3711|annandale-p.school@det.nsw.edu.au|9550 4581|392.0|5.0|30.0|1138|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1886-08-01|Leichhardt (A)|Balmain|Grayndler|Ultimo|Port Jackson|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.885782|151.169599|Sydney|2017-11-03
1042|4930|Annandale North Public School|206 Johnston St|Annandale |2038|9660 3972|annandalen-p.school@det.nsw.edu.au|9692 8323|397.0|np|16.0|1171|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1907-05-01|Leichhardt (A)|Balmain|Grayndler|Ultimo|Port Jackson|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.877905|151.171835|Sydney|2017-11-03
1045|10197|Appin Public School|97 Appin Road|Appin|2560|4631 1220|appin-p.school@det.nsw.edu.au|4631 1486|294.0|7.0|7.0|980|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1868-01-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Dharawal|Inner Regional Australia|-34.198417|150.78766|South Western Sydney|2017-11-03
1048|17392|Arcadia Public School|140 Arcadia Road|Arcadia|2159|9653 1207|arcadia-p.school@det.nsw.edu.au|9653 2697|80.0|0.0|16.0|1067|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1894-05-01|Hornsby (A)|Hornsby|Berowra|Macquarie Park|Dural|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Inner Regional Australia|-33.623487|151.051031|Northern Sydney|2017-11-03
1051|10519|Ardlethan Central School|Mithul St|Ardlethan |2665|6978 2046|ardlethan-c.school@det.nsw.edu.au|6978 2202|65.8|np|np|965|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1910-01-01|Coolamon (A)|Cootamundra|Riverina|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-34.354098|146.900557|Southern NSW|2017-11-03
1055|10520|Ariah Park Central School|Reid St|Ariah Park |2665|6974 1105|ariahpark-c.school@det.nsw.edu.au|6974 1017|139.0|np|np|960|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1899-04-01|Temora (A)|Cootamundra|Riverina|Wagga Wagga|Cootamundra|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-34.346925|147.218018|Southern NSW|2017-11-03
1057|9372|Armidale City Public School|Faulkner St|Armidale |2350|6772 3420|armidalec-p.school@det.nsw.edu.au|6771 2262|433.0|13.0|17.0|1016|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1861-06-01|Armidale Dumaresq (A)|Northern Tablelands|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Inner Regional Australia|-30.519501|151.664056|North Western NSW|2017-11-03
1058|9376|Drummond Memorial Public School|250 Rusden Street|Armidale|2350|6772 3736|drummondm-p.school@det.nsw.edu.au|6771 2275|117.0|45.0|21.0|827|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1890-10-01|Armidale Dumaresq (A)|Northern Tablelands|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Inner Regional Australia|-30.511469|151.650715|North Western NSW|2017-11-03
1061|7612|Artarmon Public School|McMillan Rd|Artarmon |2064|9411 1950|artarmon-p.school@det.nsw.edu.au|9415 1243|1173.0|np|77.0|1180|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1910-10-01|Willoughby (C)|Lane Cove|North Sydney|Macquarie Park|North Sydney|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.811249|151.186001|Northern Sydney|2017-11-03
1064|7773|Ashbury Public School|Trevenar St|Ashbury|2193|9798 4509|ashbury-p.school@det.nsw.edu.au|9716 8089|367.0|np|44.0|1107|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1924-05-01|Canterbury (C)|Summer Hill|Watson|Ultimo|Canterbury|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.898833|151.11944|Sydney|2017-11-03
1065|7774|Ashfield Public School|Liverpool Rd|Ashfield |2131|9798 4400|ashfield-p.school@det.nsw.edu.au|9716 7250|442.0|1.0|73.0|1083|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1862-01-01|Ashfield (A)|Summer Hill|Grayndler|Ultimo|Marrickville|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.889723|151.12821|Sydney|2017-11-03
1066|9412|Ashford Central School|Albury St|Ashford |2361|6725 4101|ashford-c.school@det.nsw.edu.au|6725 4336|168.8|28.0|np|890|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|Y|1868-01-01|Inverell (A)|Northern Tablelands|New England|Tamworth|Barwon|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-29.321262|151.094638|North Western NSW|2017-11-03
1070|5797|Asquith Public School|Dudley St|Asquith|2077|9477 1258|asquith-p.school@det.nsw.edu.au|9482 2523|410.0|1.0|36.0|1091|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1930-03-01|Hornsby (A)|Hornsby|Bradfield|Macquarie Park|Hornsby|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.685729|151.112177|Northern Sydney|2017-11-03
1071|9369|Attunga Public School|Railway St|Attunga |2345|6769 5554|attunga-p.school@det.nsw.edu.au|6769 5690|34.0|21.0|0.0|941|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1878-04-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-30.930445|150.846575|North Western NSW|2017-11-03
1073|7799|Auburn North Public School|100 Adderley St|Auburn |2144|9748 1036|auburnnth-p.school@det.nsw.edu.au|9748 0109|706.0|np|98.0|961|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-01-01|Auburn (C)|Auburn|Blaxland|Macquarie Park|Holroyd|Western Sydney & Nepean Blue Mountains|Western Sydney|Metropolitan South West|Major Cities of Australia|-33.841669|151.038618|South Western Sydney|2017-11-03
1075|7801|Auburn West Public School|Chiswick Rd|Auburn |2144|9649 6774|auburnwest-p.school@det.nsw.edu.au|9749 1467|698.0|np|97.0|905|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1934-08-01|Auburn (C)|Auburn|Blaxland|Macquarie Park|Holroyd|Western Sydney & Nepean Blue Mountains|Western Sydney|Metropolitan South West|Major Cities of Australia|-33.860931|151.019764|South Western Sydney|2017-11-03
1076|9986|Austinmer Public School|90 Lawrence Hargrave Drive|Austinmer |2515|4267 1311|austinmer-p.school@det.nsw.edu.au|4267 1018|336.0|np|10.0|1108|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1866-01-01|Wollongong (C)|Keira|Cunningham|Wagga Wagga|Wollongong North|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Major Cities of Australia|-34.305398|150.934991|Southern NSW|2017-11-03
1077|8545|Austral Public School|219 Edmondson Avenue|Austral|2179|9606 0312|austral-p.school@det.nsw.edu.au|9606 0080|272.0|4.0|51.0|947|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1893-06-01|Liverpool (C)|Camden|Werriwa|Ultimo|Macarthur|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.934487|150.812638|South Western Sydney|2017-11-03
1081|10243|Avoca Public School|Sheepwash Rd|Avoca|2577|4887 7224|avoca-p.school@det.nsw.edu.au|4887 7380|16.0|np|0.0|998|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-09-01|Wingecarribee (A)|Goulburn|Whitlam|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Upper South Coast|Inner Regional Australia|-34.612697|150.479766|Southern NSW|2017-11-03
1082|16159|Avoca Beach Public School|The Round Drive|Avoca Beach|2251|4382 1416|avocabch-p.school@det.nsw.edu.au|4381 1431|529.0|4.0|7.0|1080|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1935-05-01|Gosford (C)|Terrigal|Robertson|Macquarie Park|Gosford|Hunter New England & Central Coast|Central Coast|Central Coast|Major Cities of Australia|-33.471154|151.430745|Hunter/Central Coast|2017-11-03
1084|8964|Awaba Public School|Mulbring Street|Awaba|2283|4959 2502|awaba-p.school@det.nsw.edu.au|4950 4905|35.0|np|np|962|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-06-01|Lake Macquarie (C)|Lake Macquarie|Hunter|Tamworth|Lake Macquarie West|Hunter New England & Central Coast|Hunter New England|Hunter |Major Cities of Australia|-33.010554|151.538068|Hunter/Central Coast|2017-11-03
1085|16197|Colo Vale Public School|Wattle St|Colo Vale |2575|4889 4250|colovale-p.school@det.nsw.edu.au|4889 4285|219.0|np|8.0|981|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1882-01-01|Wingecarribee (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Upper South Coast|Inner Regional Australia|-34.401281|150.476178|Southern NSW|2017-11-03
1098|9413|Bald Blair Public School|Ebor Rd|Guyra |2365|6779 1578|baldblair-p.school@det.nsw.edu.au|6779 2060|38.0|0.0|np|992|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1920-05-01|Guyra (A)|Northern Tablelands|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-30.229893|151.785056|North Western NSW|2017-11-03
1104|7691|Seaforth Public School|37 Kempbridge Avenue|Seaforth |2092|9948 1694|seaforth-p.school@det.nsw.edu.au|9907 0858|551.0|1.0|17.0|1143|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1881-07-01|Manly (A)|Manly|Warringah|Macquarie Park|Warringah|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.793262|151.251235|Northern Sydney|2017-11-03
1106|10002|Balgownie Public School|Balgownie Rd|Balgownie |2519|4284 4245|balgownie-p.school@det.nsw.edu.au|4284 3462|350.0|np|21.0|1070|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1889-04-01|Wollongong (C)|Keira|Cunningham|Wagga Wagga|Wollongong North|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Major Cities of Australia|-34.386984|150.872076|Southern NSW|2017-11-03
1111|11039|Ballimore Public School|Bomen St|Ballimore |2830|6886 5151|ballimore-p.school@det.nsw.edu.au|6886 5167|16.0|np|0.0|972|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1884-07-01|Dubbo (C)|Dubbo|Parkes|Wagga Wagga|Macquarie|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Outer Regional Australia|-32.193596|148.899631|North Western NSW|2017-11-03
1112|9765|Ballina Public School|48 Crane St|Ballina |2478|6686 2205|ballina-p.school@det.nsw.edu.au|6686 0692|242.0|37.0|6.0|864|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1861-08-01|Ballina (A)|Ballina|Richmond|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.869724|153.563707|North Coast|2017-11-03
1115|6377|Balranald Central School|We St|Balranald|2715|03 5020 2222|balranald-c.school@det.nsw.edu.au|03 5020 2269|157.0|27.0|np|885|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|Y|1865-09-01|Balranald (A)|Murray|Farrer|Wagga Wagga|Deniliquin|Murrumbidgee, Far West & Western NSW|Far West|Riverina 3|Outer Regional Australia|-34.635575|143.564769|Southern NSW|2017-11-03
1118|9770|Bangalow Public School|Byron St|Bangalow |2479|6687 1434|bangalow-p.school@det.nsw.edu.au|6687 2036|288.0|2.0|10.0|1097|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1884-10-01|Byron (A)|Ballina|Richmond|Tamworth|Lismore|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.68554|153.525743|North Coast|2017-11-03
1121|6390|Banksmeadow Public School|Trevelyan & Wiggins Sts|Botany |2019|9316 9608|banksmeado-p.school@det.nsw.edu.au|9316 4513|273.0|4.0|26.0|1019|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1881-08-01|Botany Bay (C)|Maroubra|Kingsford Smith|Ultimo|Botany Bay|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.953739|151.20661|Sydney|2017-11-03
1123|8557|Greenacre Public School|Waterloo Rd|Greenacre|2190|9759 1305|greenacre-p.school@det.nsw.edu.au|9740 4035|845.0|1.0|98.0|925|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1921-05-01|Bankstown (C)|Lakemba|Watson|Ultimo|Canterbury|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.911161|151.057581|South Western Sydney|2017-11-03
1124|8574|Bankstown North Public School|322 Hume Hwy|Bankstown |2200|9709 5506|bankstownn-p.school@det.nsw.edu.au|9790 0945|373.0|np|93.0|986|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1868-01-01|Bankstown (C)|Bankstown|Blaxland|Ultimo|Bankstown|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.904888|151.038043|South Western Sydney|2017-11-03
1129|9515|Banora Point Public School|Pioneer Pde|Banora Point |2486|07 5524 1444|banorapt-p.school@det.nsw.edu.au|07 5524 9287|635.0|11.0|7.0|989|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1893-07-01|Tweed (A)|Tweed|Richmond|Tamworth|Tweed|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Major Cities of Australia|-28.222422|153.543702|North Coast|2017-11-03
1130|6402|Baradine Central School|42 Narren St|Baradine|2396|6843 1805|baradine-c.school@det.nsw.edu.au|6843 1751|108.7|53.0|np|793|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|Y|1876-01-01|Warrumbungle Shire (A)|Barwon|Parkes|Wagga Wagga|Western Plains|Murrumbidgee, Far West & Western NSW|Western NSW|North Western 1|Remote Australia|-30.950736|149.070198|North Western NSW|2017-11-03
1131|10521|Barellan Central School|Boree St|Barellan |2665|6963 9202|barellan-c.school@det.nsw.edu.au|6963 9302|125.0|15.0|7.0|959|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1911-08-01|Narrandera (A)|Cootamundra|Farrer|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-34.287799|146.571928|Southern NSW|2017-11-03
1134|10234|Bargo Public School|Southern Rd|Bargo |2574|4684 1396|bargo-p.school@det.nsw.edu.au|02 4684 3781|349.0|7.0|11.0|966|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1869-05-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Dharawal|Inner Regional Australia|-34.292889|150.58274|South Western Sydney|2017-11-03
1135|10672|Barham Public School|Wakool St|Barham|2732|03 5453 2133|barham-p.school@det.nsw.edu.au|03 5453 2972|147.0|np|8.0|992|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1901-10-01|Wakool (A)|Murray|Farrer|Wagga Wagga|Deniliquin|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 2 |Outer Regional Australia|-35.626915|144.127977|Southern NSW|2017-11-03
1136|9751|Barkers Vale Public School|4501 Kyogle Rd|Wadeville |2474|6689 7202|barkersval-p.school@det.nsw.edu.au|6689 7469|56.0|np|24.0|1012|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1933-05-01|Kyogle (A)|Lismore|Page|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.54902|153.14927|North Coast|2017-11-03
1137|10527|Barmedman Public School|Robertson St|Barmedman |2668|6976 2128|barmedman-p.school@det.nsw.edu.au|6976 2006|np|np|0.0|871|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-04-01|Bland (A)|Cootamundra|Riverina|Wagga Wagga|Cootamundra|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-34.148277|147.385078|Southern NSW|2017-11-03
1138|9127|Barnsley Public School|Cliffbrook St|Barnsley |2278|4953 2976|barnsley-p.school@det.nsw.edu.au|4953 3094|309.0|12.0|2.0|957|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1865-12-01|Lake Macquarie (C)|Cessnock|Hunter|Tamworth|Lake Macquarie West|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.933094|151.594552|Hunter/Central Coast|2017-11-03
1139|10460|Barooga Public School|Hughes St|Barooga |3644|03 5873 4242|barooga-p.school@det.nsw.edu.au|03 5873 4700|142.0|np|6.0|964|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1896-01-01|Berrigan (A)|Murray|Farrer|Wagga Wagga|Deniliquin|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 2 |Inner Regional Australia|-35.912963|145.695985|Southern NSW|2017-11-03
1140|9371|Barraba Central School|Gotha St|Barraba |2347|6782 1104|barraba-c.school@det.nsw.edu.au|6782 1231|172.8|18.0|np|906|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1861-10-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-30.38239|150.599478|North Western NSW|2017-11-03
1143|9523|Barrington Public School|1 Kenmore St|Barrington |2422|6558 4258|barrington-p.school@det.nsw.edu.au|6558 4216|57.0|19.0|np|1007|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1864-05-01|Gloucester (A)|Upper Hunter|Lyne|Tamworth|Great Lakes|Hunter New England & Central Coast|Hunter New England|Manning|Outer Regional Australia|-31.971159|151.911058|North Coast|2017-11-03
1146|9683|Baryulgil Public School|7135 Clarence Way|Baryulgil |2460|6647 2124|baryulgil-p.school@det.nsw.edu.au|6647 2151|10.0|60.0|np|653|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1917-11-01|Clarence Valley (A)|Clarence|Page|Tamworth|Clarence Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Outer Regional Australia|-29.2235|152.605615|North Coast|2017-11-03
1148|8571|Bass Hill Public School|611 Hume Hwy|Bass Hill |2197|9644 3431|basshill-p.school@det.nsw.edu.au|9644 5271|362.0|2.0|85.0|923|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1923-03-01|Bankstown (C)|Bankstown|Blaxland|Ultimo|Bankstown|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.905902|151.005779|South Western Sydney|2017-11-03
1149|10056|Batemans Bay Public School|Mundarra Way|Surfside|2536|4472 4059|batemansba-p.school@det.nsw.edu.au|4472 8457|587.0|28.0|5.0|884|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1869-07-01|Eurobodalla (A)|Bega|Gilmore|Wagga Wagga|Far South Coast|Illawarra Shoalhaven & Southern NSW|Southern NSW|Lower South Coast|Inner Regional Australia|-35.700051|150.188373|Southern NSW|2017-11-03
